user_id,book_id,rating
1136.0,890,4.0
1350.0,890,4.0
2276.0,890,4.0
2552.0,890,4.0
2996.0,890,3.0
3420.0,890,4.0
3721.0,890,5.0
4827.0,890,5.0
4941.0,890,5.0
5863.0,890,3.0
6017.0,890,4.0
6042.0,890,4.0
6435.0,890,4.0
7134.0,890,3.0
7994.0,890,5.0
8831.0,890,3.0
10008.0,890,5.0
10087.0,890,4.0
10120.0,890,4.0
10181.0,890,4.0
11261.0,890,5.0
11941.0,890,5.0
12148.0,890,4.0
12156.0,890,5.0
12417.0,890,4.0
13360.0,890,4.0
13954.0,890,3.0
14266.0,890,4.0
14499.0,890,4.0
15102.0,890,5.0
15501.0,890,4.0
15889.0,890,5.0
16587.0,890,2.0
16642.0,890,3.0
17073.0,890,5.0
17172.0,890,4.0
17216.0,890,3.0
17228.0,890,4.0
17547.0,890,3.0
18077.0,890,4.0
18237.0,890,4.0
18920.0,890,4.0
19526.0,890,5.0
19758.0,890,3.0
20035.0,890,5.0
20084.0,890,5.0
20782.0,890,5.0
21366.0,890,4.0
22034.0,890,2.0
22154.0,890,3.0
22190.0,890,5.0
22336.0,890,4.0
23202.0,890,5.0
23892.0,890,4.0
23962.0,890,3.0
25155.0,890,5.0
27031.0,890,5.0
27515.0,890,4.0
27565.0,890,5.0
27997.0,890,5.0
29074.0,890,5.0
29132.0,890,5.0
30794.0,890,4.0
32052.0,890,3.0
32139.0,890,4.0
32354.0,890,5.0
33357.0,890,4.0
33697.0,890,3.0
33993.0,890,1.0
34464.0,890,4.0
35329.0,890,4.0
35608.0,890,4.0
35630.0,890,4.0
36667.0,890,5.0
37099.0,890,2.0
37363.0,890,5.0
37617.0,890,4.0
37855.0,890,5.0
38067.0,890,5.0
38446.0,890,3.0
38756.0,890,4.0
38865.0,890,4.0
40003.0,890,5.0
40566.0,890,5.0
40700.0,890,5.0
40840.0,890,4.0
40875.0,890,4.0
40975.0,890,5.0
41003.0,890,4.0
43237.0,890,5.0
43831.0,890,5.0
46147.0,890,4.0
48809.0,890,5.0
48825.0,890,4.0
50342.0,890,5.0
50399.0,890,5.0
51618.0,890,5.0
52425.0,890,3.0
52929.0,890,5.0
513.0,1953,4.0
1353.0,1953,3.0
3263.0,1953,3.0
4941.0,1953,3.0
5115.0,1953,3.0
5369.0,1953,2.0
6689.0,1953,5.0
6940.0,1953,3.0
7165.0,1953,4.0
7410.0,1953,2.0
7842.0,1953,5.0
8178.0,1953,3.0
8340.0,1953,5.0
8407.0,1953,5.0
8498.0,1953,2.0
9193.0,1953,3.0
9285.0,1953,4.0
10376.0,1953,2.0
12166.0,1953,3.0
12262.0,1953,2.0
13034.0,1953,4.0
13271.0,1953,5.0
13904.0,1953,4.0
14192.0,1953,5.0
14841.0,1953,2.0
14890.0,1953,4.0
16417.0,1953,2.0
17440.0,1953,4.0
17450.0,1953,4.0
17458.0,1953,4.0
17643.0,1953,4.0
18045.0,1953,3.0
18053.0,1953,4.0
18616.0,1953,4.0
19493.0,1953,3.0
19655.0,1953,3.0
19895.0,1953,4.0
20406.0,1953,3.0
20941.0,1953,5.0
20967.0,1953,5.0
21670.0,1953,3.0
22034.0,1953,5.0
22270.0,1953,5.0
24609.0,1953,3.0
24962.0,1953,5.0
24990.0,1953,4.0
25415.0,1953,3.0
25606.0,1953,3.0
25687.0,1953,5.0
26182.0,1953,4.0
26529.0,1953,3.0
26670.0,1953,3.0
26873.0,1953,5.0
27745.0,1953,5.0
28219.0,1953,1.0
28559.0,1953,3.0
28824.0,1953,4.0
28923.0,1953,4.0
29008.0,1953,4.0
29132.0,1953,5.0
29694.0,1953,3.0
30012.0,1953,3.0
30681.0,1953,4.0
30953.0,1953,4.0
31093.0,1953,4.0
31294.0,1953,4.0
33555.0,1953,3.0
34284.0,1953,5.0
35521.0,1953,5.0
35642.0,1953,2.0
36633.0,1953,4.0
36883.0,1953,4.0
37127.0,1953,4.0
37184.0,1953,4.0
37516.0,1953,4.0
